Parameter, Value
1_Mean Absolute Error,
1_Root Mean Squared Error,
1_Relative Absolute Error,
1_Relative Squared Error,
1_Coefficient of Determination,
2_Mean Absolute Error,
2_Root Mean Squared Error,
2_Relative Absolute Error,
2_Relative Squared Error,
2_Coefficient of Determination,
3_Mean Absolute Error for 1st fold,
3_Mean Absolute Error for 2nd fold,
3_Mean Absolute Error for 3rd fold,
3_Mean Absolute Error for 4th fold,
3_Relative Squared Error for 1st fold,
3_Relative Squared Error for 2nd fold,
3_Relative Squared Error for 3rd fold,
3_Relative Squared Error for 4th fold,
