Source,Target
227156,449176
395990,64689
68724,605
464502,10781
205587,1645
440161,682
446101,342737
68722,359871
446021,11778
460071,1955
11036,1494
400617,1597
205596,449176
49026,44912
507076,370663
453201,350
395834,75780
281338,70160
502682,451480
401847,467952
207932,281957
11324,75780
440161,510
429203,359412
9339,8470
263115,246655
273248,81390
487670,49521
391713,84892
4982,769
49047,157336
76203,339408
38,19913
406997,442062
484247,101299
154400,8321
1422,339692
334541,399057
157353,7551
372058,378064
150540,2300
11324,392044
281338,157350
147441,381284
244786,398181
258216,2057
369972,3558
210577,346364
38810,44214
446021,13
429351,97630
392044,75780
222935,10229
243683,370663
466411,84892
316029,424694
273481,2142
1124,675
339103,261023
11321,393961
455980,1555
429417,201085
370663,258480
261470,34494
281338,198663
68718,272
438145,281957
472734,8966
254320,63
569547,264660
15472,65754
413362,1266
500475,17494
23168,61979
194662,1927
465136,227156
399055,381284
68817,525
389015,152792
7350,277216
472451,449176
296098,1247
399404,11463
395991,122
489929,179826
476292,297762
500919,984
490132,338189
228150,857
168259,156022
395992,348
447332,19908
155,44912
84892,308369
375785,376660
120467,340613
429197,640
392044,281957
265208,8065
296098,27576
8966,12689
369972,10545
401469,1991
75780,357096
12405,20529
106646,241239
385360,281957
426426,1949
340666,489
332567,579
400535,1266
84892,449176
8456,11713
388,228150
401545,1124
493551,612
281338,101299
22972,10590
5915,396371
395990,75780
122906,433
395990,4771
68817,786
337167,341174
53182,188207
201088,2502
510284,566512
228150,374720
7326,9880
22972,676
119450,1979
399360,309050
484247,346364
122906,521
502682,5951
64690,1991
419743,449176
72190,157350
465136,401905
458594,10781
11321,76127
470894,1452
13223,345887
254,135397
68817,566512
384680,581
76203,8619
157353,604
395834,345887
406997,73
150689,2312
418827,28468
339692,2749
154400,324542
82695,342473
121046,149468
319888,321741
451915,487558
53182,37958
451915,424
241554,281957
329865,828
443009,324786
455207,84892
500852,238
205596,467952
168672,1422
124905,373571
70,1375
350312,810
205587,389
263115,1924
514619,11675
487558,363676
375785,84892
384018,401478
445954,984
49047,395992
222935,9880
278927,407436
307081,9563
406997,400928
429417,1903
346672,12437
301337,500664
429203,339403
375366,198663
500475,979
385360,395834
399404,424
6479,534
176147,258480
458594,37645
120467,311
375785,449176
281957,3134
395990,1572
302946,395990
376867,449176
424694,152532
64682,1259
361292,259693
399404,423
8966,50619
244786,74997
46738,73
254172,13
220882,336843
272,36647
254320,198663
254,244
121046,454227
337167,11027
438650,46957
315635,13640
462919,224141
449176,501902
216015,8966
18239,50619
49026,272
470229,357096
119450,63
227156,198663
379149,4836
38810,1278
157353,62
64682,346685
385360,238636
446354,640
12405,11450
575185,84348
264660,438590
491584,10014
421792,32113
338766,1696
459910,253
123553,7131
429203,507
429351,281957
8982,9355
283366,1452
254128,479475
483906,9531
194662,98566
340613,1259
460071,769
75174,399360
23168,49022
465136,321612
72190,82654
12162,600
243683,634
500919,807
31011,34647
286565,449176
243683,9813
376867,26280
228150,369885
1966,376867
303858,2142
432301,376866
8982,9659
339103,396371
31011,181886
2253,339259
152601,49530
2503,2501
396371,640
120467,539
50620,49017
296096,9813
312221,2300
385332,11713
400579,2758
7485,75780
346672,24
381289,8966
401847,303858
389015,319888
419831,408220
7326,10947
254,329
10184,261470
4982,4836
398818,424694
395990,562
254172,340027
120467,843
514619,8922
18239,36648
337167,867
465914,314365
414191,565
486947,1256
451925,38
393519,449176
254172,510
64690,398175
432301,440298
381283,398181
372058,505262
77338,44564
376660,19458
454652,401847
376660,10206
399170,9654
384018,10483
424694,369192
121046,147371
375366,428078
11324,336843
87827,205775
400579,277216
9339,82703
401545,1417
332567,578
504172,4836
346685,8834
440298,235
312221,9291
457136,317557
493551,424
119450,76341
152601,335984
476292,303858
283366,209112
449459,399402
49047,62
332562,25196
491584,11596
319888,699
470229,281957
395834,8090
401545,521
82693,417678
359940,600
169917,4771
152601,605
484247,49022
302946,414
4922,458594
82695,16563
13649,15157
507076,376867
406990,949
10947,13649
76203,72331
426426,50014
372058,81
265208,10220
490132,26280
374720,369885
462919,429417
652,10693
307081,319888
11322,68734
398173,5486
1422,4771
31011,935
369523,273153
465914,413362
505954,423
9509,273481
369885,423
281957,336843
333371,9039
41233,1725
220882,78
393519,184352
19913,50544
1417,11224
500475,4771
376660,378064
1417,566810
303858,1572
112160,53932
508763,281957
278927,9325
334543,487558
400579,4723
64690,769
301337,9739
487558,424
475132,424694
334543,769
13649,74018
70,1367
286217,568
124905,36243
216015,9813
19913,862
440472,404245
378064,13342
20533,297762
281957,395834
10184,38
16869,424
417261,157336
483184,357096
15472,315837
1402,310307
19913,521
46738,345887
418827,345
340674,340666
11130,4974
8456,445954
68724,157336
361292,71
11130,3933
413362,18587
254320,133121
338768,152
87827,10527
4982,1900
210577,336843
273248,120
313369,525
399404,746
4922,48138
491584,11360
346672,18239
7485,2142
11321,72120
334543,451915
24253,21484
315635,1452
379149,238636
82693,286565
341174,22705
381283,769
449459,428399
65754,281957
396461,426
350312,150689
454652,443009
392044,60670
13223,311
258216,112160
385360,49021
370663,449176
2503,9331
448776,424
11036,11232
438808,261023
500919,75780
157336,605
31011,45612
8456,133805
201088,59961
446791,424121
38,1903
168259,281957
507076,184352
49017,36647
316029,443009
425972,8810
489931,5143
82693,109689
312221,9443
27022,808
407436,116149
381283,238636
359940,281957
263115,155
38810,399057
486947,893
426426,13
146233,1923
429203,75656
787,253
155,209112
489931,269795
787,249070
575185,173484
457136,1165
474354,336843
9339,1597
2503,4771
505954,369885
2502,2503
569547,62
470229,1949
314365,376867
396461,396371
6977,189
334541,428449
45269,858
1402,10139
421792,5528
7350,82702
1949,16995
265208,524
122906,13
384680,281957
335797,258509
419478,10947
68817,1788
491418,371645
438808,4133
514619,8272
296096,8966
376867,511785
363676,87502
446791,345887
489929,339692
44214,88
375785,100898
244786,281957
10184,8390
400579,433
396461,1813
10947,313369
62764,408
124905,15767
465914,389
340666,12689
458737,324786
82693,61979
207932,133805
448776,107846
433249,76341
359940,458737
2253,613
470044,11092
395992,157336
450465,1927
438808,1900
37799,860
369523,303858
389015,424
11321,476889
216015,466282
220882,101299
332567,580
391713,376867
315837,605
11887,2105
13223,53932
283366,141052
8966,123553
82695,1894
446791,2320
346685,2501
7350,112160
474354,390051
261470,24420
425972,9659
391713,376660
24021,49017
72190,294254
242582,64690
446101,20815
302946,380
398173,1696
474354,7984
11324,11092
283366,8536
261470,979
